home_team,away_team,home_avg_xg_last5,away_avg_xg_last5,xg_diff,result
3,31,1.312,0.796,0.516,A
3,11,1.264,0.742,0.522,H
3,54,1.242,0.79,0.45199999999999996,H
3,40,1.526,0.836,0.6900000000000001,H
3,13,1.4700000000000002,0.734,0.7360000000000002,H
3,14,2.248,1.1480000000000001,1.1,H
3,43,2.196,1.318,0.8780000000000001,H
3,1,2.152,1.6079999999999999,0.5440000000000003,H
3,4,2.1079999999999997,1.7120000000000002,0.39599999999999946,A
3,17,1.8399999999999999,1.8539999999999999,-0.014000000000000012,H
3,20,1.158,1.47,-0.31200000000000006,H
3,6,1.54,1.3319999999999999,0.20800000000000018,H
3,21,1.6300000000000001,1.24,0.3900000000000001,H
3,39,1.442,1.302,0.1399999999999999,H
7,31,1.9260000000000002,0.97,0.9560000000000002,H
7,11,2.186,0.852,1.334,H
7,54,2.354,1.002,1.352,H
7,40,2.0439999999999996,0.6799999999999999,1.3639999999999997,H
7,13,2.1719999999999997,0.6719999999999999,1.4999999999999998,H
7,14,2.018,0.472,1.5459999999999998,A
7,43,1.53,0.616,0.914,H
7,1,1.44,0.462,0.978,A
7,4,1.3639999999999999,0.672,0.6919999999999998,H
7,17,1.332,0.674,0.658,H
7,20,1.626,0.642,0.9839999999999999,H
7,6,1.95,0.636,1.314,H
7,21,1.8939999999999997,0.806,1.0879999999999996,A
7,39,1.964,0.6599999999999999,1.304,H
94,31,1.214,1.3199999999999998,-0.10599999999999987,H
94,11,1.236,1.326,-0.09000000000000008,H
94,54,1.468,1.26,0.20799999999999996,H
94,40,1.902,1.108,0.7939999999999998,H
94,13,2.2779999999999996,0.73,1.5479999999999996,H
94,14,2.5140000000000002,0.9799999999999999,1.5340000000000003,A
94,43,2.34,1.0059999999999998,1.334,H
94,1,2.56,0.976,1.584,H
94,4,2.4739999999999998,1.1019999999999999,1.3719999999999999,A
94,17,1.9,1.3159999999999998,0.5840000000000001,A
94,20,1.5639999999999998,0.8800000000000001,0.6839999999999997,H
94,6,1.9759999999999998,0.776,1.1999999999999997,H
